model,parameter,value
rule,static_threshold,0.6
rule,output_below_threshold,0.0
quadratic,a2,-0.1650982685129511
quadratic,a1,1.2273879829582206
quadratic,a0,-0.5863324617490123

lever,piecewise_linear_abs_yaw,quadratic_abs_yaw
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0,0.0
0.11,0.0,0.0
0.12,0.0,0.0
0.13,0.0,0.0
0.14,0.0,0.0
0.15,0.0,0.0
0.16,0.0,0.0
0.17,0.0,0.0
0.18,0.0,0.0
0.19,0.0,0.0
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,0.0,0.0
0.25,0.0,0.0
0.26,0.0,0.0
0.27,0.0,0.0
0.28,0.0,0.0
0.29,0.0,0.0
0.3,0.0,0.0
0.31,0.0,0.0
0.32,0.0,0.0
0.33,0.0,0.0
0.34,0.0,0.0
0.35000000000000003,0.0,0.0
0.36,0.0,0.0
0.37,0.0,0.0
0.38,0.0,0.0
0.39,0.0,0.0
0.4,0.0,0.0
0.41000000000000003,0.0,0.0
0.42,0.0,0.0
0.43,0.0,0.0
0.44,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.47000000000000003,0.0,0.0
0.48,0.0,0.0
0.49,0.0,0.0
0.5,0.0,0.0
0.51,0.0,0.0
0.52,0.0,0.007266717583360505
0.53,0.0,0.017807065593556604
0.54,0.0,0.02831439395005031
0.55,0.0,0.0387887026528414
0.56,0.0,0.049229991701929765
0.5700000000000001,0.0,0.05963826109731574
0.58,0.0,0.07001351083899876
0.59,0.0,0.0803557409269795
0.6,0.10437731164098414,0.09066495136125763
0.61,0.11036567502666725,0.10094114214183314
0.62,0.11635402780420563,0.11118431326870604
0.63,0.12234238058174401,0.12139446474187632
0.64,0.12833073335928238,0.1315715965613441
0.65,0.13431908613682075,0.14171570872710937
0.66,0.14030743891435915,0.1518268012391718
0.67,0.14629579169189752,0.16190487409753185
0.68,0.1522841444694359,0.17194992730218905
0.6900000000000001,0.1582724972469743,0.18196196085314398
0.7000000000000001,0.16426085795632406,0.19194097475039607
0.71,0.17690289636511236,0.20188696899394565
0.72,0.18954493477390078,0.21179994358379273
0.73,0.20218697318268922,0.22167989851993697
0.74,0.21482901159147766,0.23152683380237893
0.75,0.22747105000026607,0.24134074943111805
0.76,0.2401130884090545,0.2511216454061548
0.77,0.25275512681784296,0.2608695217274889
0.78,0.26539716522663137,0.2705843783951203
0.79,0.2780392036354198,0.2802662154090493
0.8,0.2906812420442082,0.28991503276927544
0.81,0.30273768087072045,0.2995308304757992
0.8200000000000001,0.3147941189991427,0.30911360852862035
0.8300000000000001,0.32685055712756506,0.3186633669277388
0.84,0.3389069952559872,0.3281801056731547
0.85,0.3509634333844095,0.3376638247648679
0.86,0.36301987151283177,0.3471145242028787
0.87,0.3750763096412541,0.356532203987187
0.88,0.3871327477696764,0.36591686411779245
0.89,0.3991891858980987,0.3752685045946955
0.9,0.41124560750180517,0.38458712541789575
0.91,0.41637107746707136,0.3938727265873937
0.92,0.4214965474323376,0.4031253081031889
0.93,0.4266220173976038,0.4123448699652814
0.9400000000000001,0.43174748736287005,0.4215314121736716
0.9500000000000001,0.43687295732813625,0.4306849347283589
0.96,0.4419984272934024,0.43980543762934377
0.97,0.44712389725866863,0.448892920876626
0.98,0.45224936722393483,0.45794738447020567
0.99,0.4573748371892011,0.4669688284100827
1.0,0.46250030715446727,0.4759572526962571
